Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2023-01-03 00:00:00-05:00,128.34377240566315,128.9545531314731,122.32457886036785,123.2112045288086,112117500,0.0,0.0,AAPL
2023-01-04 00:00:00-05:00,125.00414702883133,126.74784531380757,123.22104984209798,124.48202514648438,89113600,0.0,0.0,AAPL
2023-01-05 00:00:00-05:00,125.24058317585433,125.87107085400619,122.90581107632524,123.16194152832031,80962700,0.0,0.0,AAPL
2023-01-06 00:00:00-05:00,124.13723942127505,128.35362127262974,123.03388217385093,127.6935806274414,87754700,0.0,0.0,AAPL
2023-01-09 00:00:00-05:00,128.53093430540028,131.4272419402479,127.95955255827974,128.21568298339844,70790800,0.0,0.0,AAPL
2023-01-10 00:00:00-05:00,128.32407802637962,129.30921608440133,126.21588318349379,128.78709411621094,63896200,0.0,0.0,AAPL
2023-01-11 00:00:00-05:00,129.29938853968858,131.52579545654146,128.52113597704147,131.506103515625,69458900,0.0,0.0,AAPL
2023-01-12 00:00:00-05:00,131.89027740511193,132.26461961526783,129.48653833184324,131.42726135253906,71379600,0.0,0.0,AAPL
2023-01-13 00:00:00-05:00,130.0677495016975,132.9147972949888,129.70325330640753,132.75717163085938,57809700,0.0,0.0,AAPL
2023-01-17 00:00:00-05:00,132.82614355724837,135.24957434953774,132.1365500404185,133.91964721679688,63646600,0.0,0.0,AAPL
2023-01-18 00:00:00-05:00,134.78660397065414,136.54999458059902,133.02319832869463,133.20053100585938,69672800,0.0,0.0,AAPL
2023-01-19 00:00:00-05:00,132.08729648616435,134.22504400705918,131.78190613060963,133.25961303710938,58280400,0.0,0.0,AAPL
2023-01-20 00:00:00-05:00,133.26944989272516,135.96873306889344,132.22520615532028,135.82095336914062,80223600,0.0,0.0,AAPL
2023-01-23 00:00:00-05:00,136.06727935780177,141.1900098722199,135.8505477576372,139.01284790039062,81760300,0.0,0.0,AAPL
2023-01-24 00:00:00-05:00,138.22470516633354,141.03235437334166,138.21485919822922,140.41171264648438,66435100,0.0,0.0,AAPL
2023-01-25 00:00:00-05:00,138.7960933961296,140.31319931491353,136.74700453490559,139.75167846679688,65799300,0.0,0.0,AAPL
2023-01-26 00:00:00-05:00,141.04221286895242,142.10616376720364,139.79108333600698,141.8204803466797,54105100,0.0,0.0,AAPL
